New ID	Location	Year	GC%	Mreads	>=Q30	NGI ID
DALA_1	Dalarna	1965	56	44.09	83.62	P27562_1006
GAST_1	Gästrikland	1941	56	54.09	86.98	P27562_1003
GAST_10	Gästrikland	1965	57	30.6	85.39	P27562_1016
GAST_11	Gästrikland	1965	55	30.68	88.03	P27562_1018
GAST_12	Gästrikland	1969	50	39.14	89.19	P27562_1012
GAST_13	Gästrikland	1969	58	43.56	89.38	P27562_1027
GAST_14	Gästrikland	1969	52	41.3	87.97	P27562_1032
GAST_2	Gästrikland	1941	57.5	32.35	87.53	P27562_1009
GAST_3	Gästrikland	1941	52.4	40.92	85.17	P27562_1017
GAST_4	Gästrikland	1941	54	32.69	87.75	P27562_1019
GAST_5	Gästrikland	1943	56	51.54	86.06	P27562_1015
GAST_6	Gästrikland	1965	56	51.21	85.04	P27562_1004
GAST_7	Gästrikland	1965	57.5	36.35	88.45	P27562_1010
GAST_8	Gästrikland	1965	57	27.95	85.61	P27562_1011
GAST_9	Gästrikland	1965	58.5	31.27	88.76	P27562_1014
SMAL_1	Småland	1967	54	39.53	88.41	P27562_1005
SMAL_2	Småland	1967	51.5	37.11	89.42	P27562_1020
SMAL_3	Småland	1967	55.5	25.94	85.48	P27562_1033
STOC_1	Stockholm	1965	58	36.41	87.77	P27562_1001
STOC_2	Stockholm	1965	53.5	35.57	84.91	P27562_1002
STOC_3	Stockholm	1965	56.5	25.31	88.38	P27562_1007
UPPS_1	Uppsala	1951	57.5	30.31	85.66	P27562_1026
UPPS_2	Uppsala	1958	55	30.01	86.85	P27562_1023
UPPS_3	Uppsala	1969	54.4	31.32	87.16	P27562_1022
_ALM_2	Kalmar	1955	49.5	36.26	88.93	P27562_1030
_ALM_3	Kalmar	1955	53.5	34.27	87.2	P27562_1031
_ALM_4	Kalmar	1957	52	30.36	88.44	P27562_1024
_ALM_5	Kalmar	1961	53	30.14	88.84	P27562_1021
_ALM_6	Kalmar	1961	56	34.41	87.19	P27562_1025
_ALM_7	Kalmar	1961	52	26.87	86.89	P27562_1028
_ALM_8	Kalmar	1969	51	46.66	89.63	P27562_1029
