task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
6	81/3c3f80	38671159	NFCORE_SAREK:SAREK:PREPARE_GENOME:BWAMEM1_INDEX (GCA_905220545.2_ilMelAtha1.2_genomic.chroms.fna)	CACHED	0	2023-06-15 18:48:24.798	12m 1s	11m 56s	96.8%	861.4 MB	882.2 MB	2.2 GB	1.5 GB
2	57/5143a9	38671162	NFCORE_SAREK:SAREK:PREPARE_GENOME:GATK4_CREATESEQUENCEDICTIONARY (GCA_905220545.2_ilMelAtha1.2_genomic.chroms.fna)	CACHED	0	2023-06-15 18:48:25.368	15.7s	12s	158.1%	1.1 GB	39.3 GB	673 MB	685.1 KB
5	b5/ce82e9	38671161	NFCORE_SAREK:SAREK:PREPARE_GENOME:SAMTOOLS_FAIDX (GCA_905220545.2_ilMelAtha1.2_genomic.chroms.fna)	CACHED	0	2023-06-15 18:48:25.068	6s	3s	82.6%	2.7 MB	11.9 MB	572.5 MB	6.3 KB
12	48/b3e9b5	38671160	NFCORE_SAREK:SAREK:FASTQC (SLOV_1_1990-L001)	CACHED	0	2023-06-15 18:48:24.890	11m 26s	11m 22s	198.0%	1 GB	3.8 GB	10.6 GB	4.3 MB
8	fb/47298d	38671165	NFCORE_SAREK:SAREK:FASTQC (BAJK_1_2016-L001)	CACHED	0	2023-06-15 18:48:25.583	5m 51s	3m 46s	198.1%	1.1 GB	3.8 GB	3.2 GB	4.4 MB
11	c1/545405	38671163	NFCORE_SAREK:SAREK:FASTP (SLOV_1_1990-L001)	CACHED	0	2023-06-15 18:48:25.398	11m 56s	3m 11s	991.2%	1.9 GB	2.8 GB	10.6 GB	9.8 GB
7	82/e973dc	38671164	NFCORE_SAREK:SAREK:FASTP (BAJK_1_2016-L001)	CACHED	0	2023-06-15 18:48:25.500	3m 26s	1m 5s	911.9%	1.9 GB	2.8 GB	3.2 GB	2.9 GB
14	33/5b9b99	38671166	NFCORE_SAREK:SAREK:FASTQC (URAL_2_1995-L001)	CACHED	0	2023-06-15 18:48:25.730	8m 15s	6m 9s	199.2%	1.1 GB	3.8 GB	6 GB	4.4 MB
15	00/814853	38671168	NFCORE_SAREK:SAREK:FASTQC (RUSS_4_2008-L001)	CACHED	0	2023-06-15 18:48:25.914	8m 50s	5m 47s	199.3%	1.1 GB	3.8 GB	5.6 GB	4.4 MB
18	d6/8af130	38671240	NFCORE_SAREK:SAREK:PREPARE_INTERVALS:BUILD_INTERVALS ([GCA_905220545.2_ilMelAtha1.2_genomic.chroms.fna])	CACHED	0	2023-06-15 18:48:31.737	2m 54s	0ms	15.7%	1.3 MB	11 MB	53.1 KB	1.7 KB
16	b1/940f49	38671171	NFCORE_SAREK:SAREK:FASTQC (JAPA_1_1994-L001)	CACHED	0	2023-06-15 18:48:26.292	15m 20s	12m 20s	197.7%	1 GB	3.8 GB	11.3 GB	4.3 MB
13	b8/b92cf3	38671167	NFCORE_SAREK:SAREK:FASTP (URAL_2_1995-L001)	CACHED	0	2023-06-15 18:48:25.868	5m 40s	1m 58s	999.7%	1.9 GB	2.8 GB	6 GB	5.5 GB
17	93/4a8b53	38671177	NFCORE_SAREK:SAREK:FASTQC (CHEH_1_1989-L001)	CACHED	0	2023-06-15 18:48:26.785	16m 39s	13m 37s	198.1%	1.1 GB	3.8 GB	12.2 GB	4.3 MB
36	b5/223091	38671178	NFCORE_SAREK:SAREK:FASTQC (KRAS_2_2002-L001)	CACHED	0	2023-06-15 18:48:26.883	6m 19s	3m 17s	198.9%	1.1 GB	3.8 GB	2.7 GB	4.3 MB
46	77/7d564c	38671250	NFCORE_SAREK:SAREK:PREPARE_INTERVALS:CREATE_INTERVALS_BED (GCA_905220545.2_ilMelAtha1.2_genomic.chroms.fna.bed)	CACHED	0	2023-06-15 18:51:26.685	5m 29s	0ms	29.6%	1.3 MB	11 MB	52.6 KB	1.7 KB
57	6d/d4542b	38671181	NFCORE_SAREK:SAREK:FASTQC (RUSS_1_1998-L001)	CACHED	0	2023-06-15 18:48:27.030	10m 59s	8m	198.1%	1.1 GB	3.8 GB	7.6 GB	4.3 MB
28	9f/16aa0e	38671169	NFCORE_SAREK:SAREK:FASTP (RUSS_4_2008-L001)	CACHED	0	2023-06-15 18:48:26.137	5m 35s	1m 55s	981.6%	1.9 GB	2.8 GB	5.6 GB	5.2 GB
94	a7/951592	38671182	NFCORE_SAREK:SAREK:FASTQC (URAL_1_1991-L001)	CACHED	0	2023-06-15 18:48:27.116	9m 49s	6m 48s	193.5%	1.1 GB	3.8 GB	6.2 GB	4.3 MB
103	2d/d11a9c	38671184	NFCORE_SAREK:SAREK:FASTQC (STOC_6_1965-L001)	CACHED	0	2023-06-15 18:48:27.223	8m 19s	5m 20s	200.2%	1 GB	3.8 GB	4.9 GB	4.5 MB
41	a2/367416	38671173	NFCORE_SAREK:SAREK:FASTP (JAPA_1_1994-L001)	CACHED	0	2023-06-15 18:48:26.412	7m 40s	3m 25s	986.8%	1.9 GB	2.8 GB	11.3 GB	10.2 GB
123	b0/79b1e7	38671186	NFCORE_SAREK:SAREK:FASTQC (VAST_1_1983-L001)	CACHED	0	2023-06-15 18:48:27.383	11m 14s	8m 11s	198.1%	1.1 GB	3.8 GB	8.2 GB	4.3 MB
97	57/b280d4	38671174	NFCORE_SAREK:SAREK:FASTP (CHEH_1_1989-L001)	CACHED	0	2023-06-15 18:48:26.493	8m 20s	3m 37s	1028.4%	1.9 GB	2.8 GB	12.2 GB	11.2 GB
140	86/890316	38671188	NFCORE_SAREK:SAREK:FASTQC (SMAL_4_1996-L001)	CACHED	0	2023-06-15 18:48:27.493	14m 29s	11m 28s	199.0%	1 GB	3.8 GB	9.7 GB	4.3 MB
148	90/97ef78	38671190	NFCORE_SAREK:SAREK:FASTQC (RUSS_3_1999-L001)	CACHED	0	2023-06-15 18:48:27.638	13m 28s	10m 26s	198.6%	1 GB	3.8 GB	9.9 GB	4.3 MB
128	60/8a005d	38671179	NFCORE_SAREK:SAREK:FASTP (KRAS_2_2002-L001)	CACHED	0	2023-06-15 18:48:26.908	4m 9s	57s	915.2%	1.9 GB	2.8 GB	2.7 GB	2.5 GB
180	55/8c9961	38671194	NFCORE_SAREK:SAREK:FASTQC (CHEH_3_2008-L001)	CACHED	0	2023-06-15 18:48:27.879	6m 48s	3m 46s	200.8%	1.1 GB	3.8 GB	3.2 GB	4.4 MB
187	33/77570d	38671198	NFCORE_SAREK:SAREK:FASTQC (BAJK_2_2016-L001)	CACHED	0	2023-06-15 18:48:28.118	7m 43s	4m 45s	199.5%	1.1 GB	3.8 GB	4.1 GB	4.3 MB
167	9f/6c7fd6	38671180	NFCORE_SAREK:SAREK:FASTP (RUSS_1_1998-L001)	CACHED	0	2023-06-15 18:48:26.991	6m 14s	2m 24s	1007.2%	1.9 GB	2.8 GB	7.6 GB	7 GB
213	08/a830bf	38671200	NFCORE_SAREK:SAREK:FASTQC (SMAL_5_1998-L001)	CACHED	0	2023-06-15 18:48:28.180	8m 8s	5m 10s	199.7%	1 GB	3.9 GB	4.6 GB	4.5 MB
197	f3/650cfe	38671183	NFCORE_SAREK:SAREK:FASTP (URAL_1_1991-L001)	CACHED	0	2023-06-15 18:48:27.183	5m 39s	2m 5s	983.5%	1.9 GB	2.8 GB	6.2 GB	5.7 GB
240	a9/47dafb	38671202	NFCORE_SAREK:SAREK:FASTQC (VAST_3_2005-L001)	CACHED	0	2023-06-15 18:48:28.232	14m 13s	11m 15s	198.0%	1.1 GB	3.8 GB	10.3 GB	4.4 MB
270	79/1bd380	38671205	NFCORE_SAREK:SAREK:FASTQC (JAPA_2_1994-L001)	CACHED	0	2023-06-15 18:48:28.325	4m 43s	1m 44s	200.9%	1 GB	3.8 GB	1.5 GB	4.4 MB
227	c3/9db01d	38671185	NFCORE_SAREK:SAREK:FASTP (STOC_6_1965-L001)	CACHED	0	2023-06-15 18:48:27.293	5m 14s	1m 42s	985.5%	1.9 GB	2.8 GB	4.9 GB	4.5 GB
298	96/e6eda3	38671206	NFCORE_SAREK:SAREK:FASTQC (RUSS_2_1999-L001)	CACHED	0	2023-06-15 18:48:28.422	6m 33s	3m 33s	200.8%	1 GB	3.8 GB	3.2 GB	4.4 MB
275	01/b0a3b8	38671187	NFCORE_SAREK:SAREK:FASTP (VAST_1_1983-L001)	CACHED	0	2023-06-15 18:48:27.408	6m 34s	2m 38s	1007.1%	1.9 GB	2.8 GB	8.2 GB	7.6 GB
318	ba/2fca58	38671208	NFCORE_SAREK:SAREK:FASTQC (KRAS_3_2002-L001)	CACHED	0	2023-06-15 18:48:28.505	13m 28s	10m 30s	198.5%	1.1 GB	3.9 GB	9.1 GB	4.3 MB
329	c3/e01440	38671210	NFCORE_SAREK:SAREK:FASTQC (POLA_1_2003-L001)	CACHED	0	2023-06-15 18:48:28.598	10m 33s	7m 31s	199.4%	1.1 GB	3.8 GB	6.3 GB	4.4 MB
301	f8/790318	38671189	NFCORE_SAREK:SAREK:FASTP (SMAL_4_1996-L001)	CACHED	0	2023-06-15 18:48:27.582	7m 4s	3m 5s	1004.2%	1.9 GB	2.8 GB	9.7 GB	8.8 GB
359	f9/5714e0	38671191	NFCORE_SAREK:SAREK:FASTP (RUSS_3_1999-L001)	CACHED	0	2023-06-15 18:48:27.702	7m 4s	2m 58s	1034.9%	1.9 GB	2.8 GB	9.9 GB	9.1 GB
403	15/85e6ec	38671216	NFCORE_SAREK:SAREK:FASTQC (KRAS_4_2002-L001)	CACHED	0	2023-06-15 18:48:28.991	7m 42s	4m 43s	200.2%	1 GB	3.8 GB	3.8 GB	4.4 MB
343	80/ac107d	38671212	NFCORE_SAREK:SAREK:FASTQC (KALM_1_2018-L001)	CACHED	0	2023-06-15 18:48:28.874	13m 22s	10m 22s	198.0%	1023.6 MB	3.8 GB	9.2 GB	4.3 MB
434	ce/e43ac7	38671220	NFCORE_SAREK:SAREK:FASTQC (VORO_1_1998-L001)	CACHED	0	2023-06-15 18:48:29.272	8m 52s	5m 51s	198.2%	1.1 GB	3.8 GB	5.1 GB	4.4 MB
411	8a/cac10b	38671218	NFCORE_SAREK:SAREK:FASTQC (SMAL_6_2013-L001)	CACHED	0	2023-06-15 18:48:29.197	8m 42s	5m 43s	200.0%	1.1 GB	3.9 GB	5 GB	4.3 MB
433	0a/1f196e	38671199	NFCORE_SAREK:SAREK:FASTP (BAJK_2_2016-L001)	CACHED	0	2023-06-15 18:48:28.143	5m 33s	2m 8s	787.7%	1.9 GB	2.8 GB	4 GB	3.7 GB
486	88/55d738	38671223	NFCORE_SAREK:SAREK:FASTQC (BAJK_3_2016-L001)	CACHED	0	2023-06-15 18:48:29.389	8m 52s	5m 51s	198.7%	1.1 GB	3.8 GB	5 GB	4.3 MB
