samplename_index_lane readgroup_id readgroup_platform path_to_R1_fastq_file path_to_R2_fastq_file
GAST61965_01_L1 AHKFY7DSX5.L001.S4 illumina /proj/uppstore2017185/b2014034/private/raw_data/Assmann/DataDelivery_2023-03-07_15-07-05_ngisthlm00193/files/P27562/P27562_1004/02-FASTQ/230303_A00689_0768_AHKFY7DSX5/P27562_1004_S4_L001_R1_001.fastq.gz /proj/uppstore2017185/b2014034/private/raw_data/Assmann/DataDelivery_2023-03-07_15-07-05_ngisthlm00193/files/P27562/P27562_1004/02-FASTQ/230303_A00689_0768_AHKFY7DSX5/P27562_1004_S4_L001_R2_001.fastq.gz
STOC41965_01_L1 AHKFY7DSX5.L001.S8 illumina /proj/uppstore2017185/b2014034/private/raw_data/Assmann/DataDelivery_2023-03-07_15-07-05_ngisthlm00193/files/P27562/P27562_1008/02-FASTQ/230303_A00689_0768_AHKFY7DSX5/P27562_1008_S8_L001_R1_001.fastq.gz /proj/uppstore2017185/b2014034/private/raw_data/Assmann/DataDelivery_2023-03-07_15-07-05_ngisthlm00193/files/P27562/P27562_1008/02-FASTQ/230303_A00689_0768_AHKFY7DSX5/P27562_1008_S8_L001_R2_001.fastq.gz
GAST141969_01_L1 AHKFY7DSX5.L001.S32 illumina /proj/uppstore2017185/b2014034/private/raw_data/Assmann/DataDelivery_2023-03-07_15-07-05_ngisthlm00193/files/P27562/P27562_1032/02-FASTQ/230303_A00689_0768_AHKFY7DSX5/P27562_1032_S32_L001_R1_001.fastq.gz /proj/uppstore2017185/b2014034/private/raw_data/Assmann/DataDelivery_2023-03-07_15-07-05_ngisthlm00193/files/P27562/P27562_1032/02-FASTQ/230303_A00689_0768_AHKFY7DSX5/P27562_1032_S32_L001_R2_001.fastq.gz
UPPS11951_01_L1 AHKFY7DSX5.L001.S26 illumina /proj/uppstore2017185/b2014034/private/raw_data/Assmann/DataDelivery_2023-03-07_15-07-05_ngisthlm00193/files/P27562/P27562_1026/02-FASTQ/230303_A00689_0768_AHKFY7DSX5/P27562_1026_S26_L001_R1_001.fastq.gz /proj/uppstore2017185/b2014034/private/raw_data/Assmann/DataDelivery_2023-03-07_15-07-05_ngisthlm00193/files/P27562/P27562_1026/02-FASTQ/230303_A00689_0768_AHKFY7DSX5/P27562_1026_S26_L001_R2_001.fastq.gz
КALM31955_01_L1 AHKFY7DSX5.L001.S31 illumina /proj/uppstore2017185/b2014034/private/raw_data/Assmann/DataDelivery_2023-03-07_15-07-05_ngisthlm00193/files/P27562/P27562_1031/02-FASTQ/230303_A00689_0768_AHKFY7DSX5/P27562_1031_S31_L001_R1_001.fastq.gz /proj/uppstore2017185/b2014034/private/raw_data/Assmann/DataDelivery_2023-03-07_15-07-05_ngisthlm00193/files/P27562/P27562_1031/02-FASTQ/230303_A00689_0768_AHKFY7DSX5/P27562_1031_S31_L001_R2_001.fastq.gz
GAST41941_01_L1 AHKFY7DSX5.L001.S19 illumina /proj/uppstore2017185/b2014034/private/raw_data/Assmann/DataDelivery_2023-03-07_15-07-05_ngisthlm00193/files/P27562/P27562_1019/02-FASTQ/230303_A00689_0768_AHKFY7DSX5/P27562_1019_S19_L001_R1_001.fastq.gz /proj/uppstore2017185/b2014034/private/raw_data/Assmann/DataDelivery_2023-03-07_15-07-05_ngisthlm00193/files/P27562/P27562_1019/02-FASTQ/230303_A00689_0768_AHKFY7DSX5/P27562_1019_S19_L001_R2_001.fastq.gz
КALM51961_01_L1 AHKFY7DSX5.L001.S21 illumina /proj/uppstore2017185/b2014034/private/raw_data/Assmann/DataDelivery_2023-03-07_15-07-05_ngisthlm00193/files/P27562/P27562_1021/02-FASTQ/230303_A00689_0768_AHKFY7DSX5/P27562_1021_S21_L001_R1_001.fastq.gz /proj/uppstore2017185/b2014034/private/raw_data/Assmann/DataDelivery_2023-03-07_15-07-05_ngisthlm00193/files/P27562/P27562_1021/02-FASTQ/230303_A00689_0768_AHKFY7DSX5/P27562_1021_S21_L001_R2_001.fastq.gz
STOC61965_01_L1 AHKFY7DSX5.L001.S35 illumina /proj/uppstore2017185/b2014034/private/raw_data/Assmann/DataDelivery_2023-03-07_15-07-05_ngisthlm00193/files/P27562/P27562_1035/02-FASTQ/230303_A00689_0768_AHKFY7DSX5/P27562_1035_S35_L001_R1_001.fastq.gz /proj/uppstore2017185/b2014034/private/raw_data/Assmann/DataDelivery_2023-03-07_15-07-05_ngisthlm00193/files/P27562/P27562_1035/02-FASTQ/230303_A00689_0768_AHKFY7DSX5/P27562_1035_S35_L001_R2_001.fastq.gz
GAST21941_01_L1 AHKFY7DSX5.L001.S9 illumina /proj/uppstore2017185/b2014034/private/raw_data/Assmann/DataDelivery_2023-03-07_15-07-05_ngisthlm00193/files/P27562/P27562_1009/02-FASTQ/230303_A00689_0768_AHKFY7DSX5/P27562_1009_S9_L001_R1_001.fastq.gz /proj/uppstore2017185/b2014034/private/raw_data/Assmann/DataDelivery_2023-03-07_15-07-05_ngisthlm00193/files/P27562/P27562_1009/02-FASTQ/230303_A00689_0768_AHKFY7DSX5/P27562_1009_S9_L001_R2_001.fastq.gz
UPPS31969_01_L1 AHKFY7DSX5.L001.S22 illumina /proj/uppstore2017185/b2014034/private/raw_data/Assmann/DataDelivery_2023-03-07_15-07-05_ngisthlm00193/files/P27562/P27562_1022/02-FASTQ/230303_A00689_0768_AHKFY7DSX5/P27562_1022_S22_L001_R1_001.fastq.gz /proj/uppstore2017185/b2014034/private/raw_data/Assmann/DataDelivery_2023-03-07_15-07-05_ngisthlm00193/files/P27562/P27562_1022/02-FASTQ/230303_A00689_0768_AHKFY7DSX5/P27562_1022_S22_L001_R2_001.fastq.gz
КALM71961_01_L1 AHKFY7DSX5.L001.S28 illumina /proj/uppstore2017185/b2014034/private/raw_data/Assmann/DataDelivery_2023-03-07_15-07-05_ngisthlm00193/files/P27562/P27562_1028/02-FASTQ/230303_A00689_0768_AHKFY7DSX5/P27562_1028_S28_L001_R1_001.fastq.gz /proj/uppstore2017185/b2014034/private/raw_data/Assmann/DataDelivery_2023-03-07_15-07-05_ngisthlm00193/files/P27562/P27562_1028/02-FASTQ/230303_A00689_0768_AHKFY7DSX5/P27562_1028_S28_L001_R2_001.fastq.gz
GAST101965_01_L1 AHKFY7DSX5.L001.S16 illumina /proj/uppstore2017185/b2014034/private/raw_data/Assmann/DataDelivery_2023-03-07_15-07-05_ngisthlm00193/files/P27562/P27562_1016/02-FASTQ/230303_A00689_0768_AHKFY7DSX5/P27562_1016_S16_L001_R1_001.fastq.gz /proj/uppstore2017185/b2014034/private/raw_data/Assmann/DataDelivery_2023-03-07_15-07-05_ngisthlm00193/files/P27562/P27562_1016/02-FASTQ/230303_A00689_0768_AHKFY7DSX5/P27562_1016_S16_L001_R2_001.fastq.gz
SMAL21967_01_L1 AHKFY7DSX5.L001.S20 illumina /proj/uppstore2017185/b2014034/private/raw_data/Assmann/DataDelivery_2023-03-07_15-07-05_ngisthlm00193/files/P27562/P27562_1020/02-FASTQ/230303_A00689_0768_AHKFY7DSX5/P27562_1020_S20_L001_R1_001.fastq.gz /proj/uppstore2017185/b2014034/private/raw_data/Assmann/DataDelivery_2023-03-07_15-07-05_ngisthlm00193/files/P27562/P27562_1020/02-FASTQ/230303_A00689_0768_AHKFY7DSX5/P27562_1020_S20_L001_R2_001.fastq.gz
STOC21965_01_L1 AHKFY7DSX5.L001.S2 illumina /proj/uppstore2017185/b2014034/private/raw_data/Assmann/DataDelivery_2023-03-07_15-07-05_ngisthlm00193/files/P27562/P27562_1002/02-FASTQ/230303_A00689_0768_AHKFY7DSX5/P27562_1002_S2_L001_R1_001.fastq.gz /proj/uppstore2017185/b2014034/private/raw_data/Assmann/DataDelivery_2023-03-07_15-07-05_ngisthlm00193/files/P27562/P27562_1002/02-FASTQ/230303_A00689_0768_AHKFY7DSX5/P27562_1002_S2_L001_R2_001.fastq.gz
