FullID,PCA1,PCA2,PCA3,PCA4,PCA5,PCA6,PCA7,PCA8,PCA9,ID,popID
SMAL_4_1996_SMAL_4_1996,-0.0527842,0.0254002,0.0824991,-0.00514647,-0.00465487,0.0140128,-0.0234324,-0.00604718,-0.0156365,SMAL_4_1996,SMAL
KAZA_1_2006_KAZA_1_2006,-0.0451866,0.0069568,0.0208153,-0.0172069,0.0128963,0.0164958,-0.0117051,-0.0150544,-0.0210257,KAZA_1_2006,KAZA
POLA_2_2003_POLA_2_2003,-0.0480972,0.0237631,0.086769,0.00331564,-0.00537807,0.0216466,-0.0155092,-0.0154709,-0.0155312,POLA_2_2003,POLA
KRAS_4_2002_KRAS_4_2002,-0.0197536,0.019066,0.0896239,-0.0192275,-0.000563004,-0.0228052,-0.0117483,-0.0265653,0.00544092,KRAS_4_2002,KRAS
RUSS_3_1999_RUSS_3_1999,-0.0475956,0.0252563,0.0826182,0.00712834,-0.00933606,0.0084176,-0.0208376,-0.0148078,-0.00702538,RUSS_3_1999,RUSS
KALM_9_1981_KALM_9_1981,-0.0487586,0.0211878,0.0800862,0.00487973,0.00319431,0.00447375,-0.0223032,-0.0254771,-0.0209503,KALM_9_1981,KALM
RUSS_4_2008_RUSS_4_2008,-0.0503344,0.0254371,0.0719396,0.00115497,0.00761962,0.0159088,-0.0183935,-0.0285648,-0.0178094,RUSS_4_2008,RUSS
RUSS_1_1998_RUSS_1_1998,-0.0486207,0.0259218,0.0899152,0.0136088,-0.00257217,0.00551811,-0.0298797,-0.023434,-0.00887528,RUSS_1_1998,RUSS
BELA_1_2004_BELA_1_2004,-0.0450845,0.0134819,0.0828671,-0.00957926,-0.00679653,0.00776387,-0.00129472,-0.0203046,-0.00238981,BELA_1_2004,BELA
RUSS_5_2008_RUSS_5_2008,-0.047435,0.0184638,0.0653267,0.007348,0.00428128,0.0211343,0.000761062,-0.0120661,-0.0158611,RUSS_5_2008,RUSS
KAZA_2_2006_KAZA_2_2006,-0.0525829,0.022688,0.0857296,-0.00119454,-0.00136778,0.0102072,-0.0204675,-0.0167441,-0.0184204,KAZA_2_2006,KAZA
URAL_2_1995_URAL_2_1995,-0.045756,0.0169866,0.0729907,-0.00786344,0.00274056,-0.0112006,-0.00691223,-0.0189142,-0.00821107,URAL_2_1995,URAL
URAL_1_1991_URAL_1_1991,0.270883,-0.924731,0.19474,0.0762479,-0.047974,0.032844,0.0125244,-0.00761066,0.0453614,URAL_1_1991,URAL
KALM_1_2018_KALM_1_2018,-0.047384,0.0210087,0.0517152,-0.00100041,-0.000895483,0.00702365,0.000824596,-0.0149089,-0.00187714,KALM_1_2018,KALM
KALM_10_1983_KALM_10_1983,-0.0498879,0.00765561,0.0716761,0.00698011,-0.00138134,0.00805706,-0.0181764,-0.0347003,-0.0202969,KALM_10_1983,KALM
VAST_3_2005_VAST_3_2005,0.415552,0.0875988,-0.12726,-0.43366,-0.283647,0.474768,-0.491052,-0.0234973,-0.114449,VAST_3_2005,VAST
CHEH_1_1989_CHEH_1_1989,-0.0490013,0.0134499,0.0893897,0.000336342,-0.00378638,0.0140202,-0.0121631,-0.017439,-0.0189623,CHEH_1_1989,CHEH
