task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
5	b5/ce82e9	38671161	NFCORE_SAREK:SAREK:PREPARE_GENOME:SAMTOOLS_FAIDX (GCA_905220545.2_ilMelAtha1.2_genomic.chroms.fna)	COMPLETED	0	2023-06-15 18:48:25.068	6s	3s	82.6%	2.7 MB	11.9 MB	572.5 MB	6.3 KB
2	57/5143a9	38671162	NFCORE_SAREK:SAREK:PREPARE_GENOME:GATK4_CREATESEQUENCEDICTIONARY (GCA_905220545.2_ilMelAtha1.2_genomic.chroms.fna)	COMPLETED	0	2023-06-15 18:48:25.368	15.7s	12s	158.1%	1.1 GB	39.3 GB	673 MB	685.1 KB
85	d6/8af130	38671240	NFCORE_SAREK:SAREK:PREPARE_INTERVALS:BUILD_INTERVALS ([GCA_905220545.2_ilMelAtha1.2_genomic.chroms.fna])	COMPLETED	0	2023-06-15 18:48:31.737	2m 54s	0ms	15.7%	1.3 MB	11 MB	53.1 KB	1.7 KB
17	89/dd505f	38671170	NFCORE_SAREK:SAREK:FASTQC (АLTA_1_2015-L001)	FAILED	0	2023-06-15 18:48:26.264	3m 5s	1s	107.8%	1.9 MB	26.5 MB	10.1 MB	634 B
19	e5/c42074	38671175	NFCORE_SAREK:SAREK:FASTQC (КALM_10_1983-L001)	FAILED	0	2023-06-15 18:48:26.581	3m 5s	1s	109.7%	37.1 MB	2.8 GB	10.1 MB	633 B
37	8c/3ae966	38671192	NFCORE_SAREK:SAREK:FASTQC (КALM_9_1981-L001)	FAILED	0	2023-06-15 18:48:27.775	3m 4s	1s	114.6%	1.9 MB	22.1 MB	10.1 MB	630 B
42	fa/b189df	38671196	NFCORE_SAREK:SAREK:FASTQC (КAZA_2_2006-L001)	FAILED	0	2023-06-15 18:48:27.941	3m 3s	1s	114.7%	2.3 MB	33.1 MB	10.1 MB	629 B
59	15/295f8c	38671215	NFCORE_SAREK:SAREK:FASTQC (КAZA_1_2006-L001)	FAILED	0	2023-06-15 18:48:28.966	3m 2s	1s	111.1%	1.2 MB	11 MB	10.1 MB	631 B
70	52/ac9c52	38671225	NFCORE_SAREK:SAREK:FASTQC (АLTA_2_2015-L001)	FAILED	0	2023-06-15 18:48:29.484	3m 2s	1s	105.7%	2.4 MB	33.1 MB	10.1 MB	630 B
8	82/e973dc	38671164	NFCORE_SAREK:SAREK:FASTP (BAJK_1_2016-L001)	COMPLETED	0	2023-06-15 18:48:25.500	3m 26s	1m 5s	911.9%	1.9 GB	2.8 GB	3.2 GB	2.9 GB
50	68/7bee7c	38671204	NFCORE_SAREK:SAREK:FASTP (JAPA_2_1994-L001)	COMPLETED	0	2023-06-15 18:48:28.302	3m 33s	31s	883.9%	1.9 GB	2.7 GB	1.5 GB	1.4 GB
23	60/8a005d	38671179	NFCORE_SAREK:SAREK:FASTP (KRAS_2_2002-L001)	COMPLETED	0	2023-06-15 18:48:26.908	4m 9s	57s	915.2%	1.9 GB	2.8 GB	2.7 GB	2.5 GB
